M49,AREA,Year,Series,Value
8,Albania,2005,"Safely managed drinking water sources, total of Proportion of population with access",52.5512
8,Albania,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",39.7094
8,Albania,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",36.1604
8,Albania,2005,"Safely managed sanitation facilities, total of Proportion of population with access",37.8189
8,Albania,2010,"Safely managed drinking water sources, total of Proportion of population with access",61.9777
8,Albania,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",39.9811
8,Albania,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",37.1777
8,Albania,2010,"Safely managed sanitation facilities, total of Proportion of population with access",38.64
8,Albania,2017,"Safely managed drinking water sources, total of Proportion of population with access",70.0232
8,Albania,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",40.1705
8,Albania,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",39.3948
8,Albania,2017,"Safely managed sanitation facilities, total of Proportion of population with access",39.8555
12,Algeria,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",17.5383
12,Algeria,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",19.7532
12,Algeria,2005,"Safely managed sanitation facilities, total of Proportion of population with access",18.3394
12,Algeria,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",17.0116
12,Algeria,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",20.2706
12,Algeria,2010,"Safely managed sanitation facilities, total of Proportion of population with access",18.0695
12,Algeria,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",16.4848
12,Algeria,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",20.788
12,Algeria,2017,"Safely managed sanitation facilities, total of Proportion of population with access",17.6875
16,American Samoa,2005,"Safely managed drinking water sources, total of Proportion of population with access",12.4581
16,American Samoa,2010,"Safely managed drinking water sources, total of Proportion of population with access",12.5069
16,American Samoa,2017,"Safely managed drinking water sources, total of Proportion of population with access",12.5751
20,Andorra,2005,"Safely managed drinking water sources, total of Proportion of population with access",90.64
20,Andorra,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",50.5272
20,Andorra,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",50.5272
20,Andorra,2005,"Safely managed sanitation facilities, total of Proportion of population with access",50.5272
20,Andorra,2010,"Safely managed drinking water sources, total of Proportion of population with access",90.64
20,Andorra,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",86.4503
20,Andorra,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",86.4503
20,Andorra,2010,"Safely managed sanitation facilities, total of Proportion of population with access",86.4503
20,Andorra,2017,"Safely managed drinking water sources, total of Proportion of population with access",90.64
20,Andorra,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",100
20,Andorra,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",100
20,Andorra,2017,"Safely managed sanitation facilities, total of Proportion of population with access",100
51,Armenia,2005,"Safely managed drinking water sources, total of Proportion of population with access",43.9389
51,Armenia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",45.4563
51,Armenia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",47.9031
51,Armenia,2010,"Safely managed drinking water sources, total of Proportion of population with access",61.7069
51,Armenia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",45.4793
51,Armenia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",48.1352
51,Armenia,2017,"Safely managed drinking water sources, total of Proportion of population with access",86.4764
51,Armenia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",45.2622
51,Armenia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",48.2232
36,Australia,2005,"Safely managed drinking water sources, urban of Proportion of population with access",98.3478
36,Australia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",65.092
36,Australia,2010,"Safely managed drinking water sources, urban of Proportion of population with access",98.65
36,Australia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",69.4869
36,Australia,2017,"Safely managed drinking water sources, urban of Proportion of population with access",98.8007
36,Australia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",75.6399
40,Austria,2005,"Safely managed drinking water sources, total of Proportion of population with access",98.1285
40,Austria,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",99.991
40,Austria,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",92.3014
40,Austria,2005,"Safely managed sanitation facilities, total of Proportion of population with access",96.8239
40,Austria,2010,"Safely managed drinking water sources, total of Proportion of population with access",98.543
40,Austria,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",99.9753
40,Austria,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",92.3014
40,Austria,2010,"Safely managed sanitation facilities, total of Proportion of population with access",96.7062
40,Austria,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.9062
40,Austria,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",99.9534
40,Austria,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",92.3014
40,Austria,2017,"Safely managed sanitation facilities, total of Proportion of population with access",96.7467
31,Azerbaijan,2005,"Safely managed drinking water sources, total of Proportion of population with access",55.9271
31,Azerbaijan,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",75.4017
31,Azerbaijan,2010,"Safely managed drinking water sources, total of Proportion of population with access",68.7006
31,Azerbaijan,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",84.7537
31,Azerbaijan,2017,"Safely managed drinking water sources, total of Proportion of population with access",73.5643
31,Azerbaijan,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",92.206
48,Bahrain,2005,"Safely managed drinking water sources, total of Proportion of population with access",98.9111
48,Bahrain,2005,"Safely managed sanitation facilities, total of Proportion of population with access",95.922
48,Bahrain,2010,"Safely managed drinking water sources, total of Proportion of population with access",98.9822
48,Bahrain,2010,"Safely managed sanitation facilities, total of Proportion of population with access",95.9896
48,Bahrain,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.9833
48,Bahrain,2017,"Safely managed sanitation facilities, total of Proportion of population with access",96
50,Bangladesh,2005,"Safely managed drinking water sources, urban of Proportion of population with access",44.5761
50,Bangladesh,2005,"Safely managed drinking water sources, rural of Proportion of population with access",60.0224
50,Bangladesh,2005,"Safely managed drinking water sources, total of Proportion of population with access",55.8814
50,Bangladesh,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",18.566
50,Bangladesh,2010,"Safely managed drinking water sources, urban of Proportion of population with access",44.5941
50,Bangladesh,2010,"Safely managed drinking water sources, rural of Proportion of population with access",60.6344
50,Bangladesh,2010,"Safely managed drinking water sources, total of Proportion of population with access",55.7482
50,Bangladesh,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",24.1198
50,Bangladesh,2017,"Safely managed drinking water sources, urban of Proportion of population with access",44.6193
