,Codigos,ISO_3,Pais,Periodo,Valor,Indicador
12,Africa,DZA,Algeria,2005,17.54,Safely managed sanitation facilities of urban  represented by Proportion of population with access
13,Africa,DZA,Algeria,2005,19.75,Safely managed sanitation facilities of rural  represented by Proportion of population with access
14,Africa,DZA,Algeria,2005,18.34,Safely managed sanitation facilities of total  represented by Proportion of population with access
15,Africa,DZA,Algeria,2010,17.01,Safely managed sanitation facilities of urban  represented by Proportion of population with access
16,Africa,DZA,Algeria,2010,20.27,Safely managed sanitation facilities of rural  represented by Proportion of population with access
17,Africa,DZA,Algeria,2010,18.07,Safely managed sanitation facilities of total  represented by Proportion of population with access
18,Africa,DZA,Algeria,2017,16.48,Safely managed sanitation facilities of urban  represented by Proportion of population with access
19,Africa,DZA,Algeria,2017,20.79,Safely managed sanitation facilities of rural  represented by Proportion of population with access
20,Africa,DZA,Algeria,2017,17.69,Safely managed sanitation facilities of total  represented by Proportion of population with access
129,Africa,BWA,Botswana,2005,83.65,Safely managed drinking water sources of urban  represented by Proportion of population with access
130,Africa,BWA,Botswana,2010,83.74,Safely managed drinking water sources of urban  represented by Proportion of population with access
131,Africa,BWA,Botswana,2017,83.22,Safely managed drinking water sources of urban  represented by Proportion of population with access
228,Africa,COG,Congo,2005,45.78,Safely managed drinking water sources of urban  represented by Proportion of population with access
229,Africa,COG,Congo,2005,8.39,Safely managed drinking water sources of rural  represented by Proportion of population with access
230,Africa,COG,Congo,2005,31.2,Safely managed drinking water sources of total  represented by Proportion of population with access
231,Africa,COG,Congo,2010,55.44,Safely managed drinking water sources of urban  represented by Proportion of population with access
232,Africa,COG,Congo,2010,12.42,Safely managed drinking water sources of rural  represented by Proportion of population with access
233,Africa,COG,Congo,2010,39.63,Safely managed drinking water sources of total  represented by Proportion of population with access
234,Africa,COG,Congo,2017,58.63,Safely managed drinking water sources of urban  represented by Proportion of population with access
235,Africa,COG,Congo,2017,19.06,Safely managed drinking water sources of rural  represented by Proportion of population with access
236,Africa,COG,Congo,2017,45.35,Safely managed drinking water sources of total  represented by Proportion of population with access
246,Africa,CIV,Côte d’Ivoire,2005,56.65,Safely managed drinking water sources of urban  represented by Proportion of population with access
247,Africa,CIV,Côte d’Ivoire,2005,16.42,Safely managed drinking water sources of rural  represented by Proportion of population with access
248,Africa,CIV,Côte d’Ivoire,2005,34.62,Safely managed drinking water sources of total  represented by Proportion of population with access
249,Africa,CIV,Côte d’Ivoire,2010,56.02,Safely managed drinking water sources of urban  represented by Proportion of population with access
250,Africa,CIV,Côte d’Ivoire,2010,16.97,Safely managed drinking water sources of rural  represented by Proportion of population with access
251,Africa,CIV,Côte d’Ivoire,2010,35.45,Safely managed drinking water sources of total  represented by Proportion of population with access
252,Africa,CIV,Côte d’Ivoire,2017,55.15,Safely managed drinking water sources of urban  represented by Proportion of population with access
253,Africa,CIV,Côte d’Ivoire,2017,17.71,Safely managed drinking water sources of rural  represented by Proportion of population with access
254,Africa,CIV,Côte d’Ivoire,2017,36.55,Safely managed drinking water sources of total  represented by Proportion of population with access
309,Africa,DJI,Djibouti,2005,31.2,Safely managed sanitation facilities of urban  represented by Proportion of population with access
310,Africa,DJI,Djibouti,2005,12.18,Safely managed sanitation facilities of rural  represented by Proportion of population with access
311,Africa,DJI,Djibouti,2005,26.78,Safely managed sanitation facilities of total  represented by Proportion of population with access
312,Africa,DJI,Djibouti,2010,35.55,Safely managed sanitation facilities of urban  represented by Proportion of population with access
313,Africa,DJI,Djibouti,2010,14.97,Safely managed sanitation facilities of rural  represented by Proportion of population with access
314,Africa,DJI,Djibouti,2010,30.82,Safely managed sanitation facilities of total  represented by Proportion of population with access
315,Africa,DJI,Djibouti,2017,41.48,Safely managed sanitation facilities of urban  represented by Proportion of population with access
316,Africa,DJI,Djibouti,2017,18.93,Safely managed sanitation facilities of rural  represented by Proportion of population with access
317,Africa,DJI,Djibouti,2017,36.44,Safely managed sanitation facilities of total  represented by Proportion of population with access
336,Africa,EGY,Egypt,2005,64.89,Safely managed sanitation facilities of urban  represented by Proportion of population with access
337,Africa,EGY,Egypt,2005,54.74,Safely managed sanitation facilities of total  represented by Proportion of population with access
338,Africa,EGY,Egypt,2010,67,Safely managed sanitation facilities of urban  represented by Proportion of population with access
339,Africa,EGY,Egypt,2010,57.13,Safely managed sanitation facilities of total  represented by Proportion of population with access
340,Africa,EGY,Egypt,2017,70.71,Safely managed sanitation facilities of urban  represented by Proportion of population with access
341,Africa,EGY,Egypt,2017,60.74,Safely managed sanitation facilities of total  represented by Proportion of population with access
357,Africa,SWZ,Eswatini,2005,75.02,Safely managed drinking water sources of urban  represented by Proportion of population with access
358,Africa,SWZ,Eswatini,2010,83.03,Safely managed drinking water sources of urban  represented by Proportion of population with access
359,Africa,SWZ,Eswatini,2017,88.75,Safely managed drinking water sources of urban  represented by Proportion of population with access
360,Africa,ETH,Ethiopia,2005,36.03,Safely managed drinking water sources of urban  represented by Proportion of population with access
361,Africa,ETH,Ethiopia,2005,0.51,Safely managed drinking water sources of rural  represented by Proportion of population with access
362,Africa,ETH,Ethiopia,2005,6.09,Safely managed drinking water sources of total  represented by Proportion of population with access
363,Africa,ETH,Ethiopia,2005,1.96,Safely managed sanitation facilities of rural  represented by Proportion of population with access
364,Africa,ETH,Ethiopia,2010,37.03,Safely managed drinking water sources of urban  represented by Proportion of population with access
365,Africa,ETH,Ethiopia,2010,1.74,Safely managed drinking water sources of rural  represented by Proportion of population with access
